siteID	trapID	latitude_WGS84	longitude_WGS84	trap_habitat	malaise_trap_type	parkID	provinceID	trap_orientation_degrees_S
23	THYGHQ	-20.7949	44.16618	Dry_Forest	Single_trap	Parc National de Kirindy Mite	TOLIARA	67
24	TB43DA	-21.258128	47.422347	Rainforest	Single_trap	Parc National de Ranomafana	FIANARANTSOA	135
25	T4ZF4M	-22.53959	45.37872	Dry_Forest	Single_trap	Parc National de l'Isalo	FIANARANTSOA	285
26	T6UDMB	-22.82777778	43.51916667	Dry_Forest	Single_trap	Parc National de Mikea	TOLIARA	123
27	TIYMCS	-22.88694444	44.69277778	Dry_Forest	Single_trap	Parc National de Zombitse-Vohibasia	TOLIARA	340
28	THGFVB	-23.18722222	47.71861111	Rainforest	Single_trap	RŽserve de Ressources Naturelles d'Agnalazaha	FIANARANTSOA	250
29	TYBVPP	-23.655035	44.629599	Dry_Forest	Single_trap	RŽserve SpŽciale Bezˆ-Mahafaly	TOLIARA	180
30	TUP4R5	-24.02303	43.7859	Dry_Forest	Multitrap	Parc National de Tsimanampesotse	TOLIARA	89
30	TE8SYJ	-24.02532	43.73899	Dry_Forest	Multitrap	Parc National de Tsimanampesotse	TOLIARA	96
30	T3JY78	-24.02663	43.740925	Dry_Forest	Multitrap	Parc National de Tsimanampesotse	TOLIARA	52
31	TFBCWJ	-24.58194444	47.135	Rainforest	Multitrap	RŽserve de Ressources Naturelles de la Fort Naturelle de Tsitongambarika	TOLIARA	178
31	TKDVTA	-24.5825	47.15027778	Rainforest	Multitrap	RŽserve de Ressources Naturelles de la Fort Naturelle de Tsitongambarika	TOLIARA	56
31	TULADB	-24.585	47.13583333	Rainforest	Multitrap	RŽserve de Ressources Naturelles de la Fort Naturelle de Tsitongambarika	TOLIARA	183
32	TGRG5T	-24.76388889	46.86111111	Rainforest	Single_trap	Parc National  d'Andohahela	TOLIARA	129
33	TIPGKX	-25.540964	45.137877	Dry_Forest	Single_trap	RŽserve SpŽciale Cap de Sainte Marie	TOLIARA	346
